358,372,535,644,23,33.00,91
352,359,508,517,23.00,33.00,
315,272,287,242,23.00,33.00,
255,183,101,60,23.00,33.00,
307,253,196,165,23.00,33.00,
325,285,214,167,23.00,33.00,
337,314,256,204,23.00,33.00,
357,371,450,502,23.00,33.00,
394,432,603,712,23.00,33.00,
381,410,562,632,23.00,33.00,
369,385,540,584,23.00,33.00,
351,360,522,596,23.00,33.00,
319,281,307,322,23.00,33.00,
298,238,213,186,23.00,33.00,
311,283,209,166,23.00,33.00,
327,314,243,190,23.00,33.00,
333,330,331,335,23.00,33.00,
378,412,564,628,23.00,33.00,
380,416,571,670,23.00,33.00,
364,386,530,638,23.00,33.00,
352,364,524,627,23.00,33.00,
329,308,361,367,23.00,33.00,
295,244,164,182,23.00,33.00,
307,260,166,198,23.00,33.00,
327,295,239,211,23.00,33.00,
337,320,284,252,23.00,33.00,
362,373,508,533,23.00,33.00,
387,391,570,647,23.00,33.00,
368,371,521,625,23.00,33.00,
351,361,524,629,23.00,33.00,
343,342,467,515,23.00,33.00,
304,257,212,182,23.00,33.00,
301,246,143,88,23.00,33.00,
319,281,182,106,23.00,33.00,
332,309,232,153,23.00,33.00,
352,359,409,410,23.00,33.00,
388,426,569,526,23.00,33.00,96
376,409,528,616,23.00,33.00,
358,366,525,626,23.00,33.00,
349,353,515,603,23.00,33.00,
314,275,271,280,23.00,33.00,
294,240,141,115,23.00,33.00,
312,269,161,105,23.00,33.00,
328,301,212,142,23.00,33.00,
339,336,338,336,23.00,33.00,
380,418,569,636,23.00,33.00,
380,413,565,603,23.00,33.00,
363,384,529,566,23.00,33.00,
352,363,524,567,23.00,33.00,
335,315,380,372,23.00,33.00,
297,245,218,183,23.00,33.00,
316,287,191,135,23.00,33.00,
338,326,231,158,23.00,33.00,
337,333,281,221,23.00,33.00,
368,401,527,543,23.00,33.00,
389,430,603,677,23.00,33.00,
372,397,542,648,23.00,33.00,
358,372,531,633,23.00,33.00,
347,342,444,476,23.00,33.00,99
306,252,189,215,23.00,33.00,
308,258,200,156,23.00,33.00,
325,292,245,182,23.00,33.00,
337,321,274,217,23.00,33.00,
361,366,447,476,23.00,33.00,
389,426,594,658,23.00,33.00,
377,405,548,644,23.00,33.00,
361,379,532,636,23.00,33.00,
351,358,514,569,23.00,33.00,
313,270,256,226,23.00,33.00,
303,246,143,82,23.00,33.00,
323,280,174,87,23.00,33.00,
335,310,225,178,23.00,33.00,
344,341,345,324,23.00,33.00,
383,416,539,562,23.00,33.00,
386,419,524,611,23.00,33.00,
370,380,533,633,23.00,33.00,
359,364,529,633,23.00,33.00,
331,310,364,378,23.00,33.00,
299,244,159,136,23.00,33.00,
309,260,152,100,23.00,33.00,
329,296,199,127,23.00,33.00,
341,324,255,215,23.00,33.00,
378,411,527,575,23.00,34.00,100
293,250,214,161,23.00,34.00,
326,321,328,337,23.00,34.00,
376,382,528,581,23.00,34.00,
378,402,542,626,23.00,34.00,
364,382,526,626,23.00,34.00,
352,362,521,621,23.00,34.00,
331,307,354,346,23.00,34.00,
298,244,153,108,23.00,34.00,
309,263,154,78,23.00,34.00,
330,297,201,108,23.00,34.00,
338,322,258,231,23.00,34.00,
372,400,510,451,23.00,34.00,101
390,404,583,609,23.00,34.00,
368,372,527,621,23.00,34.00,
353,362,528,634,23.00,34.00,
344,336,444,476,23.00,34.00,
305,255,195,183,23.00,34.00,
304,252,149,103,23.00,34.00,
323,286,188,118,23.00,34.00,
337,316,240,164,23.00,34.00,
358,374,444,481,23.00,34.00,
390,430,596,611,23.00,34.00,
376,404,538,560,23.00,34.00,
360,379,531,573,23.00,34.00,
351,358,517,579,23.00,34.00,
318,278,307,305,23.00,34.00,
301,273,180,162,23.00,34.00,107
315,283,191,149,23.00,34.00,
331,308,233,176,23.00,34.00,
346,347,374,394,23.00,34.00,
386,425,576,653,23.00,34.00,
382,415,564,677,23.00,34.00,
366,386,534,645,23.00,34.00,
357,367,524,565,23.00,34.00,
330,303,337,340,23.00,34.00,
302,247,153,219,23.00,34.00,
311,265,196,181,23.00,34.00,
328,298,244,202,23.00,34.00,
339,324,279,272,23.00,34.00,
371,384,509,548,23.00,34.00,
386,420,580,657,23.00,34.00,
370,392,531,632,23.00,34.00,
357,371,530,634,23.00,34.00,
344,336,427,452,23.00,34.00,
302,251,185,149,23.00,34.00,
304,253,146,74,23.00,34.00,
326,289,188,157,23.00,34.00,
339,320,253,221,23.00,34.00,
358,371,436,471,23.00,34.00,
386,424,535,608,23.00,34.00,109
374,383,520,618,23.00,34.00,
353,368,524,628,23.00,34.00,
346,351,505,559,23.00,34.00,
310,266,253,230,23.00,34.00,
298,243,142,97,23.00,34.00,
321,277,172,101,23.00,34.00,
332,308,226,147,23.00,34.00,
343,345,363,362,23.00,34.00,
379,416,569,568,23.00,34.00,
